t,px,qty,sign,mm_involved,mid_mark,spread,maker_age_s,maker_queue_ahead_qty_entry
2.464114,99.8300000000,1,1,1,99.8528783499,0.0200000000,0.093903,2
2.468018,99.8300000000,1,1,1,99.8317838085,0.0200000000,0.095786,3
2.475238,99.8100000000,1,-1,0,99.8249862837,0.0200000000,1.024426,0
2.484486,99.8200000000,1,1,1,99.8387265294,0.0100000000,0.006339,0
2.496574,99.8200000000,1,1,1,99.8836432755,0.0100000000,0.015119,1
2.498714,99.8200000000,1,1,1,99.8951324078,0.0100000000,0.016440,2
2.501152,99.8200000000,1,1,1,99.8989710384,0.0100000000,0.017155,3
2.502636,99.8200000000,1,1,1,99.8912357892,0.0100000000,0.017398,3
2.513720,99.8200000000,1,1,1,99.9332240595,0.0100000000,0.027860,4
2.529930,99.8200000000,1,1,1,99.9093688039,0.0100000000,0.042433,5
2.536494,99.8200000000,1,1,1,99.9190674188,0.0100000000,0.042322,6
2.540015,99.8200000000,1,1,1,99.9398262072,0.0100000000,0.045073,7
2.544822,99.8200000000,1,1,1,99.9419344911,0.0100000000,0.049870,8
2.547580,99.8200000000,1,1,1,99.9457628486,0.0100000000,0.050240,8
2.547628,99.8100000000,1,-1,0,99.9485765665,0.0100000000,1.089099,1
2.554827,99.8200000000,1,1,1,99.9389038394,0.0100000000,0.055225,8
2.556454,99.8200000000,1,1,1,99.9428633430,0.0100000000,0.056167,9
2.565438,99.8200000000,1,1,1,99.9306346418,0.0100000000,0.065125,10
2.568666,99.8200000000,1,1,1,99.9343542645,0.0100000000,0.064552,9
2.578991,99.8100000000,1,-1,0,99.9447158284,0.0100000000,1.103065,3
2.593219,99.8200000000,1,1,1,99.9370743644,0.0100000000,0.087978,10
2.612481,99.8200000000,1,1,1,99.9448318385,0.0100000000,0.106240,11
2.620910,99.8100000000,1,-1,0,99.9332904933,0.0200000000,1.110929,4
2.624441,99.8300000000,1,1,1,99.9253683316,0.0200000000,0.250498,4
2.646013,99.8300000000,1,1,1,99.8855128279,0.0200000000,0.269665,5
2.648855,99.8300000000,1,1,1,99.8883557798,0.0200000000,0.270588,6
2.649258,99.8300000000,1,1,1,99.8955094027,0.0200000000,0.268312,7
2.659651,99.8400000000,1,1,1,99.8559308771,0.0100000000,0.408846,2
2.660705,99.8400000000,1,1,1,99.8485546107,0.0100000000,0.403399,3
2.663779,99.8400000000,1,1,1,99.8419699029,0.0100000000,0.406215,4
2.665501,99.8400000000,1,1,1,99.8485195296,0.0100000000,0.407332,5
2.668066,99.8300000000,1,-1,0,99.8512543138,0.0100000000,0.011212,0
2.671679,99.8100000000,1,-1,0,99.8326784562,0.0300000000,0.783190,8
2.724240,99.8100000000,1,-1,0,99.7722093648,0.0100000000,0.338909,6
2.731522,99.8200000000,1,1,0,99.7808249071,0.0100000000,0.026207,0
2.737495,99.8100000000,1,-1,0,99.7636927001,0.0100000000,0.350377,7
2.744841,99.8100000000,1,-1,0,99.7834664284,0.0100000000,0.298980,8
2.748823,99.8100000000,1,-1,1,99.7765072291,0.0100000000,0.150071,5
2.768419,99.8200000000,1,1,1,99.7934615720,0.0100000000,0.054099,2
2.775341,99.8100000000,1,-1,1,99.7942520361,0.0100000000,0.172122,6
2.794313,99.8100000000,1,-1,1,99.8113774933,0.0100000000,0.188288,7
2.803859,99.8200000000,1,1,1,99.7924026452,0.0100000000,0.088544,3
2.826142,99.8200000000,1,1,1,99.8516524658,0.0100000000,0.110819,4
2.862780,99.8200000000,1,1,1,99.8982426285,0.0100000000,0.147153,5
2.872404,99.8100000000,1,-1,1,99.8932492216,0.0100000000,0.256593,8
2.875084,99.8200000000,1,1,1,99.8876687582,0.0100000000,0.158817,6
2.887815,99.8200000000,1,1,1,99.9018514386,0.0100000000,0.167781,7
2.897662,99.8200000000,1,1,1,99.9039615658,0.0100000000,0.168262,8
2.926163,99.8200000000,1,1,1,99.8834371070,0.0100000000,0.192772,8
2.934738,99.8200000000,1,1,1,99.9126628491,0.0100000000,0.197729,9
2.943809,99.8200000000,1,1,1,99.8998383782,0.0100000000,0.203933,10
2.945467,99.8200000000,1,1,0,99.9013036180,0.0100000000,0.133082,10
2.950265,99.8300000000,1,1,0,99.9110634987,0.0200000000,0.215887,1
2.957815,99.8300000000,1,1,0,99.9270741409,0.0200000000,0.189130,2
2.959282,99.8400000000,1,1,1,99.9158650081,0.0300000000,0.700928,6
2.968514,99.8400000000,1,1,1,99.9411966230,0.0300000000,0.710051,7
2.980318,99.8400000000,1,1,1,99.9857034582,0.0300000000,0.716496,8
2.993978,99.8400000000,1,1,1,99.9839329262,0.0200000000,0.723732,9
2.998081,99.8200000000,1,-1,1,100.0018592308,0.0200000000,0.007817,0
3.012021,99.8400000000,1,1,1,100.0135788481,0.0300000000,0.739606,10
3.018677,99.8400000000,1,1,1,100.0133468967,0.0300000000,0.744166,11
3.026544,99.8400000000,1,1,0,100.0214116783,0.0300000000,0.591980,12
3.028696,99.8400000000,1,1,1,100.0106027516,0.0300000000,0.062533,6
3.046438,99.8500000000,1,1,1,100.0128726519,0.0400000000,0.907529,1
3.050709,99.8500000000,1,1,1,100.0053884021,0.0400000000,0.911093,2
3.060345,99.8500000000,1,1,1,100.0085474394,0.0100000000,0.918065,3
3.065504,99.8500000000,1,1,1,100.0041396435,0.0100000000,0.921946,4
3.085637,99.8500000000,1,1,1,99.9818350155,0.0100000000,0.942009,5
3.094086,99.8500000000,1,1,1,100.0080270885,0.0100000000,0.947741,6
3.105757,99.8500000000,1,1,1,100.0230907433,0.0100000000,0.959172,7
3.114193,99.8500000000,1,1,1,100.0168565892,0.0100000000,0.960527,8
3.131736,99.8500000000,1,1,0,100.0213320878,0.0100000000,0.357606,8
3.137180,99.8500000000,1,1,1,100.0201910232,0.0100000000,0.170482,10
3.185478,99.8500000000,1,1,1,100.0600932443,0.0100000000,0.218043,11
3.200866,99.8600000000,1,1,0,100.0591329740,0.0200000000,1.105941,1
3.210510,99.8600000000,1,1,0,100.0861619247,0.0200000000,0.869564,1
3.210554,99.8600000000,1,1,1,100.0859489140,0.0200000000,0.610697,4
